id_contrato,nit_entidad,entidad,departamento,ciudad,orden,tipo_contrato,modalidad,estado,unspsc,fecha_firma,anio,periodo_gobierno,descripcion,dir_ejecucion,urlproceso,valor,valor_plausible,valor_pagado,valor_pend_ejecucion,valor_anticipo,precio_base,rec_regalias,rec_sgp,rec_propios_terr,n_oferentes_unicos,n_invitados,dias_ventana,dias_originales,dias_adicionados,proveedor,ordenador,supervisor,doc_proveedor,doc_ordenador,doc_supervisor,doc_replegal,cuenta_key,puntos_crudos,score,n_banderas_fuertes,es_atipico,f_cuenta_compartida,f_ordenador_es_supervisor,f_sobrepago,f_anticipo_no_declarado,f_anticipo_al_tope,f_fraccionamiento,f_proponente_unico,f_obra_directa,f_ratio_calcado,f_invitacion_vacia,f_replegal_multiempresa,f_ordenador_concentrado,f_al_tope_minima,f_ventana_corta,f_supervisor_sobrecargado,f_ordenador_itinerante,f_prorroga_mayor,f_cierre_de_periodo,f_datos_faltantes,f_sin_proceso,f_valor_implausible,f_cuenta_consorcios,ev_share_top1_ordenador,ev_hhi_ordenador,ev_contratos_supervisor,ev_entidades_ordenador,ev_proveedores_por_cuenta,ev_tipo_red_cuenta,ev_empresas_por_replegal,ev_hermanos_30d,ev_ventana_mediana_modalidad,ev_tope_minima_entidad,ev_tasa_autosupervision_entidad
CO1.PCCNTR.4000901,800103913,E.S.E. HOSPITAL SAN RAFAEL,ANTIOQUIA,EL BAGRE,TERRITORIAL,OBRA,CONTRATACION DIRECTA,CELEBRADO,81101500,2025-05-03,2025,2024-2027,MANTENIMIENTO DE LA INFRAESTRUCTURA EDUCATIVA DE LA I.E. SANTO TOMAS,KM 31 VIA EL BAGRE - ZONA RURAL,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5000901&isFromPublicArea=True'},75552304612,75552304612,46739347567,15781954636,0,69150005207,1,0,1,1,6,22,120,30,CONSORCIO VIAS DEL SUR,LUZ MARINA CARDENAS OSPINA,DIANA CAROLINA ZAPATA TORO,901223344,21991316,11015769,44672832,CTA-BAN-0044517,13.0,0.325,2,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.903,0.815,168,1,3,empresas_independientes,1,6,24,111000000,0.175
CO1.PCCNTR.4000902,899999034,AGENCIA NACIONAL DE INFRAESTRUCTURA - ANI,BOGOTA D.C.,BOGOTA D.C.,NACIONAL,OBRA,SELECCION ABREVIADA,CELEBRADO,72141100,2024-09-28,2024,2024-2027,MEJORAMIENTO DE VIA TERCIARIA EN LA VEREDA EL PORVENIR,KM 26 VIA BOGOTA D.C. - ZONA RURAL,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5000902&isFromPublicArea=True'},6000000000000000000,52686334990,68343768808,0,0,50177461896,0,0,0,5,1,28,60,30,JUNTA DE ACCION COMUNAL VEREDA LA ESPERANZA,DIANA CAROLINA ZAPATA TORO,GLORIA ESPERANZA NINO ARAUJO,800556677,85478835,16325964,86310474,CTA-BAN-0077310,4.0,0.1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.655,0.663,3,1,1,empresas_independientes,1,0,12,111000000,0.162
CO1.PCCNTR.4000903,899999061,INSTITUTO DE INFRAESTRUCTURA Y CONCESIONES DE CUNDINAMARCA - ICCU,CHOCO,NO DEFINIDO,DEPARTAMENTAL,APP,SELECCION ABREVIADA,CELEBRADO,81101500,2024-06-21,2024,2024-2027,MANTENIMIENTO DE LA INFRAESTRUCTURA EDUCATIVA DE LA I.E. SANTO TOMAS,KM 29 VIA NO DEFINIDO - ZONA RURAL,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5000903&isFromPublicArea=True'},419639938,419639938,371944828,168161125,0,322127573,0,1,0,4,4,25,60,60,JUNTA DE ACCION COMUNAL VEREDA LA ESPERANZA,DIANA CAROLINA ZAPATA TORO,SANDRA PATRICIA MOSQUERA RENTERIA,,46370886,87359818,56210257,CTA-BAN-0077310,1.0,0.025,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.844,0.302,3,1,3,comunitaria,1,0,12,111000000,0.107
CO1.PCCNTR.4000904,899999034,AGENCIA NACIONAL DE INFRAESTRUCTURA - ANI,NARINO,PUERRES,NACIONAL,CONSULTORIA,LICITACION PUBLICA,EN EJECUCION,72141100,2021-09-22,2021,2020-2023,MANTENIMIENTO DE LA INFRAESTRUCTURA EDUCATIVA DE LA I.E. SANTO TOMAS,KM 5 VIA PUERRES - ZONA RURAL,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5000904&isFromPublicArea=True'},57414130926,57414130926,41426126750,1857438963,0,55872716308,1,1,1,6,2,11,180,30,MYG PUERRES S.A.S.,WILSON ALBERTO GUERRERO PAZ,WILSON ALBERTO GUERRERO PAZ,900778899,99162409,92176581,69455956,CTA-BAN-0091823,5.0,0.125,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.563,0.82,1,1,3,empresas_independientes,24,0,24,111000000,0.031
CO1.PCCNTR.4000905,899999034,AGENCIA NACIONAL DE INFRAESTRUCTURA - ANI,BOYACA,TUNJA,NACIONAL,INTERVENTORIA,SELECCION ABREVIADA,TERMINADO,81101500,2022-04-06,2022,2020-2023,MEJORAMIENTO DE VIA TERCIARIA EN LA VEREDA EL PORVENIR,KM 4 VIA TUNJA - ZONA RURAL,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5000905&isFromPublicArea=True'},58372547,58372547,30021048,18709205,0,49151412,0,0,0,5,5,24,120,0,INTERVENTORIAS TECNICAS ANDINAS S.A.,OSCAR IVAN BETANCUR GIRALDO,OSCAR IVAN BETANCUR GIRALDO,860334455,27891671,27891671,95252977,CTA-BAN-0044517,3.0,0.075,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.255,0.595,3,1,1,empresas_independientes,1,0,12,111000000,0.347
CO1.PCCNTR.4000906,800103913,E.S.E. HOSPITAL SAN RAFAEL,TOLIMA,IBAGUE,TERRITORIAL,OBRA,LICITACION PUBLICA,TERMINADO,81101500,2021-05-01,2021,2020-2023,ADECUACION DEL PARQUE PRINCIPAL Y ESPACIO PUBLICO ADYACENTE,KM 14 VIA IBAGUE - ZONA RURAL,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5000906&isFromPublicArea=True'},297055003,297055003,196412535,1690778,0,297592026,1,0,0,1,11,29,180,0,JUNTA DE ACCION COMUNAL VEREDA LA ESPERANZA,ALVARO JOSE PENALOZA SIERRA,GLORIA ESPERANZA NINO ARAUJO,800556677,65554911,34422225,26364904,CTA-BAN-0012004,2.0,0.05,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.594,0.774,10,1,1,comunitaria,1,0,24,111000000,0.394
CO1.PCCNTR.4000907,899999061,INSTITUTO DE INFRAESTRUCTURA Y CONCESIONES DE CUNDINAMARCA - ICCU,HUILA,NEIVA,DEPARTAMENTAL,INTERVENTORIA,CONTRATACION DIRECTA,CELEBRADO,81101500,2021-02-02,2021,2020-2023,INTERVENTORIA TECNICA ADMINISTRATIVA Y FINANCIERA AL CONTRATO DE OBRA,KM 21 VIA NEIVA - ZONA RURAL,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5000907&isFromPublicArea=True'},1422060419,1422060419,508735379,497063978,0,1156716603,1,0,1,1,12,17,120,0,CONSORCIO VIAS DEL SUR,HERNAN DARIO QUINTERO BEDOYA,DIANA CAROLINA ZAPATA TORO,901223344,94569896,69070995,21131016,CTA-BAN-0044517,2.0,0.05,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.468,0.789,1,1,1,comunitaria,1,0,1,111000000,0.363
CO1.PCCNTR.4000908,891680011,GOBERNACION DEL CHOCO,CAUCA,POPAYAN,DEPARTAMENTAL,OBRA,CONTRATACION DIRECTA,LIQUIDADO,72151500,2019-12-29,2019,2016-2019,CONSTRUCCION DE PLACA HUELLA EN ZONA RURAL DEL MUNICIPIO,KM 29 VIA POPAYAN - ZONA RURAL,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5000908&isFromPublicArea=True'},7712513304,7712513304,2503605795,803024013,0,6408906420,0,1,0,3,10,11,120,0,INTERVENTORIAS TECNICAS ANDINAS S.A.,GLORIA ESPERANZA NINO ARAUJO,GLORIA ESPERANZA NINO ARAUJO,860334455,77821894,35628804,12275794,CTA-BAN-0044517,1.0,0.025,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.883,0.565,6,1,1,comunitaria,1,0,1,111000000,0.038
CO1.PCCNTR.4000909,899999061,INSTITUTO DE INFRAESTRUCTURA Y CONCESIONES DE CUNDINAMARCA - ICCU,CALDAS,MANIZALES,DEPARTAMENTAL,OBRA,CONTRATACION DIRECTA,LIQUIDADO,72141100,2023-01-07,2023,2020-2023,ADECUACION DEL PARQUE PRINCIPAL Y ESPACIO PUBLICO ADYACENTE,KM 4 VIA MANIZALES - ZONA RURAL,,62051670,62051670,20013990,32051128,0,,1,1,1,4,9,18,60,0,CONSTRUCCIONES DEL NORTE LTDA,MARTHA CECILIA ROJAS VILLAMIL,WILSON ALBERTO GUERRERO PAZ,830112233,85920413,34542144,96145692,CTA-BAN-0044517,1.0,0.025,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.526,0.723,12,1,1,empresas_independientes,1,0,1,111000000,0.1
CO1.PCCNTR.4000910,892000501,ALCALDIA MUNICIPAL DE PUERTO GAITAN,RISARALDA,PEREIRA,TERRITORIAL,INTERVENTORIA,CONTRATACION DIRECTA,CELEBRADO,81101500,2022-03-22,2022,2020-2023,OPTIMIZACION DEL SISTEMA DE ACUEDUCTO Y ALCANTARILLADO,KM 18 VIA PEREIRA - ZONA RURAL,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5000910&isFromPublicArea=True'},110751003,110751003,272796025,129058589,0,274325156,0,1,1,1,12,3,240,30,CONSTRUCCIONES DEL NORTE LTDA,GLORIA ESPERANZA NINO ARAUJO,OSCAR IVAN BETANCUR GIRALDO,830112233,88705266,57706408,41120137,CTA-BAN-0091823,2.0,0.05,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.78,0.785,7,1,1,consorcios,1,0,1,111000000,0.308
